provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
040021,1997-11-10,1997-12-31,1999-04-09,1999-03-30,v1996,97,6015985,2502877,3513108,2430718,239255,116251,2493837,199,107,1,563933,NA,11401 INTERSTATE 30,LITTLE ROCK,AR,72209,PULASKI,SOUTHWEST HOSPITAL,NA,NA,3440761,-60815,19732913,2111,31305,NA,NA,NA,84413,NA,3473950,1800948,3854112,2163675,549129,475555,NA,NA,NA,NA,NA,NA,1997,unique reports
054003,1997-10-01,1997-12-30,1999-12-15,1999-11-19,v1996,84,3956079,1524385,2431694,1631773,3487361,NA,154041,320,68,26,NA,NA,1301 RALSTON AVE.,BELMONT,CA,91002-,NA,BELMONT HILLS HOSPITAL,NA,NA,NA,336968,NA,NA,NA,NA,NA,NA,NA,NA,799257,1368109,3641402,314677,595179,557918,NA,NA,NA,NA,NA,NA,1997,unique reports
054074,1997-11-01,1997-12-31,2000-03-10,2000-02-24,v1996,61,733089,345931,387158,804542,565514,NA,61375,187,22,18,NA,NA,525 OREGON STREET,VALLEJO,CA,94590,SOLANO,CALIFORNIA SPECIALTY HOSPITAL,NA,NA,NA,77120,617555,NA,2445,NA,NA,NA,NA,NA,365075,207907,1365592,187986,57707,56244,NA,NA,NA,NA,NA,NA,1997,unique reports
110059,1997-10-01,1997-12-31,2000-10-03,1998-06-17,v1996,87,5135400,3258559,1876841,2989001,352855,71341,1530878,350,240,23,947344,1923,GIBSON & CADE STREET,HARTWELL,GA,30643,HART,HART COUNTY HOSPITAL,NA,NA,494977,652516,2926277,NA,NA,NA,384980,NA,NA,NA,4249217,2331341,2790377,1990933,775409,731668,NA,NA,NA,NA,NA,NA,1997,unique reports
140182,1997-11-01,1997-12-31,2004-03-19,2004-03-11,v1996,192,31703529,17324311,14379218,17030347,3542738,2944877,13381322,1484,385,295,3716130,7101,4550 N. WINCHESTER,CHICAGO,IL,60640,COOK,RAVENSWOOD HOSPITAL MED CTR,NA,0.468449,926865,1621154,35535512,NA,20300000,NA,15318852,NA,36490261,NA,43052077,15355816,22726706,7149232,2467449,2163862,NA,NA,NA,NA,NA,NA,1997,unique reports
140205,1997-11-01,1997-12-31,2000-08-30,2000-08-22,v1996,27,717192,352650,364542,920245,33857,NA,161960,25,11,NA,37204,NA,1625 SOUTH STATE STREET,BELVIDERE,IL,61008,BOONE,HIGHLAND COMMUNITY HOSPITAL,NA,NA,1492811,144647,1477623,132,6380,NA,NA,NA,8676,NA,914394,3531263,262840,382840,76799,75496,NA,NA,NA,NA,NA,NA,1997,unique reports
140236,1997-10-01,1997-11-30,1998-06-02,1998-05-15,v1996,33,443895,285143,158752,375670,64256,NA,123341,33,19,2,73063,NA,335 EAST FIFTH STREET,CLIFTON,IL,60927,IROQUOIS,CENTRAL COMMUNITY HOSPITAL,NA,NA,7524,62316,292220,NA,2392134,NA,NA,NA,NA,NA,579487,702438,188600,179658,60651,54541,NA,NA,NA,NA,NA,NA,1997,unique reports
170035,1997-10-01,1997-12-31,2000-04-17,2000-04-05,v1996,24,1696615,1288250,408365,1459077,101856,NA,555970,134,81,7,223699,NA,421 SOUTH MAPLE,GARNETT,KS,66032,ANDERSON,ANDERSON COUNTY HOSPITAL,NA,NA,NA,231841,3328,NA,NA,NA,NA,NA,NA,NA,1448391,374438,872467,752451,214397,209226,NA,NA,NA,NA,NA,NA,1997,unique reports
180142,1997-11-01,1997-12-31,2000-10-26,2000-09-11,v1996,186,14734848,5702298,9032550,6802710,10938427,NA,NA,740,403,18,3044157,12119,150 N. EAGLE CREEK DRIVE,LEXINGTON,KY,40509-,FAYETTE,JEWISH HOSPITAL LEXINGTON,NA,NA,406332,1007555,2818439,-1005,-3380,NA,-457,NA,-15873,NA,12251937,2838825,11022542,3712305,2945805,2820492,NA,NA,NA,NA,NA,NA,1997,unique reports
220035,1997-10-01,1997-11-30,2003-05-16,2003-05-16,v1996,118,20474217,8224260,12249957,10747385,2631257,371910,7425382,1143,642,95,4306987,NA,500 LYNNFIELD STREET,LYNN,MA,01904,ESSEX,ATLANTICARE MEDICAL CTR,NA,NA,112107,1335414,20974944,76128,6653621,3592337,9373023,NA,19421875,NA,23941305,18068259,11198651,9275566,3392156,3085843,NA,NA,NA,NA,NA,NA,1997,unique reports
