provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
162001,2024-02-01,2025-01-31,2025-05-14,2025-05-13,v2010,35,87214585,13131144,74083441,15064205,27327723,NA,59886862,238,154,NA,NA,NA,1227 EAST RUSHOLME STREET  3RD FLOOR,DAVENPORT,IA,52803,SCOTT,SSH - QUAD CITIES  INC.,NA,NA,306211,NA,4650828,NA,-751979,NA,NA,NA,-3532941,NA,1932142,1929815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,unique reports
262017,2024-02-01,2025-01-31,2025-05-13,2025-05-09,v2010,44,203912889,31436113,172476776,27558396,42333754,NA,148582425,428,96,75,NA,NA,1630 EAST PRIMROSE STREET,SPRINGFIELD,MO,65804,GREENE,SSH - SPRINGFIELD INC.,NA,NA,117002,NA,2278873,-5983,-105273,NA,NA,NA,-4250456,NA,7298363,4360324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,unique reports
330144,2024-01-01,2025-01-01,2025-06-25,2025-06-24,v2010,15,85656162,22146984,63509178,29102706,713511,NA,4220316,177,44,1,464357,NA,7571 STATE ROUTE 54,BATH,NY,14810,STEUBEN,IRA DAVENPORT MEMORIAL HOSPITAL  INC,NA,NA,800610,6457185,7928497,-747006,-7931091,-4611895,-4966418,NA,-9593595,NA,9539035,2824935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,unique reports
340087,2024-02-01,2025-01-31,2025-06-27,2025-06-26,v2010,43,348122979,80628493,267494486,83936385,7430419,NA,52533324,2223,447,172,5215833,8556,430 RANKIN DRIVE,MARION,NC,28752,MC DOWELL,THE MCDOWELL HOSPITAL,NA,NA,11988592,-4692,62166455,-253589,-5588720,-9197230,-1321962,NA,-6642537,-1673852,13082539,6195671,NA,NA,NA,NA,11702,690,NA,NA,NA,NA,2025,unique reports
342018,2024-02-01,2025-01-31,2025-04-08,2025-04-08,v2010,30,148609083,16770994,131838089,18032696,44655534,NA,103953549,252,131,NA,NA,NA,3643 NORTH ROXBORO RD,DURHAM,NC,27704,DURHAM,SSH - DURHAM,NA,NA,210910,NA,1511430,NA,-1430246,NA,NA,NA,-1659888,NA,5133687,3019312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,unique reports
363035,2024-02-01,2025-01-31,2025-06-27,2025-06-19,v2010,60,79283131,31838647,47444484,28896624,46890695,NA,28117411,1277,563,12,NA,NA,29 N ADAMS STREET,AKRON,OH,44304,SUMMIT,SUMMA REHAB HOSPITAL,NA,NA,828632,2854838,5777936,-3542,-5481379,NA,-1236,NA,-985170,NA,8785489,5418519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,unique reports
390211,2024-07-01,2025-01-20,2025-06-13,2025-06-13,v2010,141,180768892,21978135,158790757,54420518,12373567,2831363,55474678,1850,354,218,4596082,NA,740 EAST STATE STREET,SHARON,PA,16146-2096,MERCER,SHARON REGIONAL HEALTH SYSTEM,NA,NA,521934,NA,64859476,NA,-10939670,-1522031,NA,NA,-14459035,NA,7405440,14226808,NA,NA,NA,NA,-8045,8534,NA,NA,NA,NA,2025,unique reports
392039,2024-02-01,2025-01-31,2025-05-29,2025-05-29,v2010,92,539327267,56287237,483040030,45293904,141606501,NA,397720766,837,385,1,NA,NA,503 NORTH 21ST STREET,CAMP HILL,PA,17011,CUMBERLAND,SSH - CENTRAL PA,NA,NA,218862,NA,5195500,NA,-8077639,NA,NA,NA,-6791377,NA,12290332,5387770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,unique reports
452121,2024-02-01,2025-01-31,2025-06-30,2025-06-30,v2010,25,35255782,9670896,25584886,9973580,19136516,NA,16119266,202,95,NA,NA,NA,500 WEST 4TH STREET,ODESSA,TX,79761-5001,ECTOR,CONTINUECARE HOSPITAL AT MEDICAL CEN,NA,NA,2786,162279,145487,NA,NA,-368075,NA,NA,-82854,NA,1877564,3361908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,unique reports
670106,2024-02-01,2025-01-31,2025-06-27,2025-06-27,v2010,48,1276530401,110986705,1165543696,123753641,55840718,24644490,531237938,4374,569,34,9110829,19249,11100 SHADOW CREEK PARKWAY,PEARLAND,TX,77584,BRAZORIA,HCA HOUSTON HEALTHCARE PEARLAND,NA,NA,3475479,1466,70727436,-493381,-6582048,-1251333,-18456889,NA,-15989613,-3161026,15227648,7729936,NA,NA,NA,NA,8085,27743,NA,NA,NA,NA,2025,unique reports
