provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
010001,2015-10-01,2016-09-30,2019-03-20,2019-03-17,v2010,387,1633882183,314934337,1318947846,338324728,137366641,31705859,585141075,19632,8529,3115,78945166,61046,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,SOUTHEAST ALABAMA MEDICAL CENTER,NA,0.162766,24875003,6085744,159857226,NA,NA,NA,NA,NA,-359122955,NA,66684582,40344854,NA,NA,NA,NA,-255521,311152,21521848,281481,93734204,NA,2016,unique reports
010005,2015-10-01,2016-09-30,2017-03-21,2017-03-09,v2010,204,495817605,152458646,343358959,154413970,17380010,4949290,99675874,9406,3659,1446,28071853,31569,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,MARSHALL,MARSHALL MEDICAL CENTER - SOUTH,NA,0.277037,6873293,14514700,89005408,-5332589,-71181102,NA,-8169172,NA,-91985067,NA,41395402,24584413,NA,NA,NA,NA,41118,224551,6663272,24024,29008464,-1845511,2016,unique reports
010006,2015-07-01,2016-06-30,2016-12-20,2016-12-13,v2010,358,777022906,148322664,628700242,137600484,40906427,26787525,366413835,12713,5977,2025,51004675,20285,205 MARENGO STREET,FLORENCE,AL,35630,LAUDERDALE,ELIZA COFFEE MEMORIAL HOSPITAL,NA,0.150742,662000,-471985,80710156,NA,-3034224,NA,NA,NA,-2226872,NA,32237412,17893143,NA,NA,NA,NA,-898,30464,5941737,630203,37620288,NA,2016,unique reports
010007,2015-10-01,2016-09-30,2018-11-15,2018-11-14,v2010,45,47215304,13547778,33667526,15967884,1902825,745394,10518721,1179,764,159,4081805,NA,702 MAIN STREET,OPP,AL,36462-,COVINGTON,MIZELL MEMORIAL HOSPITAL,NA,0.307323,105440,1493945,6514997,-154369,-10495855,NA,-12702756,NA,NA,NA,6682770,1644922,NA,NA,NA,NA,-6382,13398,67574,3010,4012685,NA,2016,unique reports
010008,2016-01-01,2016-12-31,2019-01-25,2019-01-17,v2010,29,54537220,11411100,43126120,13456919,1301112,NA,4795302,328,195,37,1041149,NA,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,CRENSHAW COMMUNITY HOSPITAL,NA,0.231569,37477,89613,190637,NA,NA,NA,NA,NA,NA,NA,6011784,4575123,NA,NA,NA,NA,-671,389,NA,NA,3200447,NA,2016,unique reports
010011,2015-07-01,2016-06-30,2016-12-21,2016-12-13,v2010,313,1144097527,203743282,940354245,209269860,82034778,80037670,419249091,15226,3949,2026,40359175,60727,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235-,JEFFERSON,ST. VINCENTS EAST,NA,0.172039,5962031,8000,82916374,-2168627,-25363188,-942874,-335349,NA,-38647215,NA,55471716,58166738,NA,NA,NA,NA,-109803,193706,44890200,208969,15369752,NA,2016,unique reports
010012,2015-04-01,2016-03-31,2016-10-04,2016-09-20,v2010,97,360099151,45631381,314467770,50721000,10419180,6183739,94270637,3161,1022,846,7215141,9517,200 MEDICAL CENTER DRIVE,FORT PAYNE,AL,35967,DEKALB,DEKALB REGIONAL MEDICAL CENTER,NA,0.118379,1597515,-312941,22456901,-351225,-5728811,-1289588,-1453072,-18250,-8522629,-2830453,9421886,65731454,NA,NA,NA,NA,-11949,48522,1346543,2815,10168286,NA,2016,unique reports
010016,2016-01-01,2016-12-31,2018-11-15,2018-11-12,v2010,212,1060849352,159014151,901835201,153309368,68902574,30346284,500156654,11045,3234,1447,31518562,60020,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,SHELBY BAPTIST MEDICAL CENTER,NA,0.137123,4581782,95885,99550815,-96160,-3518256,NA,NA,-6725,-4269309,NA,22303307,19801487,NA,NA,NA,NA,-63786,141477,78089425,58186,11064166,NA,2016,unique reports
010018,2015-10-01,2016-09-30,2018-11-15,2018-11-14,v2010,12,161340493,53015650,108324843,55122459,1192348,NA,NA,64,37,1,479518,NA,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233-,JEFFERSON,CALLAHAN EYE FOUNDATION HOSP,NA,0.260307,14728083,4711928,31762914,NA,NA,NA,NA,NA,-52256694,NA,40127562,8616596,NA,NA,NA,NA,NA,NA,1991442,345246,2522868,NA,2016,unique reports
010019,2015-10-01,2016-09-30,2018-11-15,2018-11-14,v2010,185,385093121,72539942,312553179,81156767,23589940,3602392,96968309,6507,2653,2202,19121451,23850,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660-,COLBERT,HELEN KELLER HOSPITAL,NA,0.200506,NA,642563,31754294,-4700746,-45220731,-2422352,-55084424,NA,NA,NA,15470006,10805089,NA,NA,NA,NA,43099,51617,5406701,NA,37247926,NA,2016,unique reports
